,IMDb_ID,Title,Movie Series,Order,Genres,Year,IMDb Rating,Num Votes
138,tt0870090,Cidade dos Homens,Cidade de Deus,2,"Crime, Drama",2007,7.2,14888.0
140,tt0099277,Class of 1999,Class of 1999,1,"Action, Horror, Sci-Fi",1990,5.9,6465.0
141,tt0109442,Class of 1999 II: The Substitute,Class of 1999,2,"Action, Horror, Sci-Fi, Thriller",1994,4.4,1287.0
142,tt0109445,Clerks,Clerks,1,Comedy,1994,7.7,208252.0
143,tt0424345,Clerks II,Clerks,2,Comedy,2006,7.3,128350.0
144,tt1060277,Cloverfield,Cloverfield,1,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",2008,7.0,365423.0
145,tt1179933,10 Cloverfield Lane,Cloverfield,2,"Drama, Horror, Mystery, Sci-Fi, Thriller",2016,7.2,280260.0
146,tt0088933,Cocoon,Cocoon,1,"Comedy, Drama, Sci-Fi",1985,6.7,55485.0
147,tt0094890,Cocoon: The Return,Cocoon,2,"Adventure, Comedy, Mystery, Romance, Sci-Fi",1988,5.4,14994.0
149,tt0479884,Crank,Crank,1,"Action, Crime, Thriller",2006,6.9,229799.0
150,tt1121931,Crank: High Voltage,Crank,2,"Action, Thriller",2009,6.2,137542.0
151,tt0090887,Critters,Critters,1,"Comedy, Horror, Sci-Fi",1986,6.1,30156.0
152,tt0094919,Critters 2,Critters,2,"Comedy, Horror, Sci-Fi, Thriller",1988,5.5,13408.0
153,tt0101627,Critters 3,Critters,3,"Comedy, Horror, Sci-Fi, Thriller",1991,4.4,10650.0
154,tt0101628,Critters 4,Critters,4,"Horror, Sci-Fi",1992,4.1,6575.0
156,tt0123755,Cube,Cube,1,"Drama, Mystery, Sci-Fi, Thriller",1997,7.2,204349.0
157,tt0285492,Cube 2: Hypercube,Cube,2,"Drama, Mystery, Sci-Fi, Thriller",2002,5.6,61177.0
158,tt0377713,Cube Zero,Cube,3,"Drama, Mystery, Sci-Fi, Thriller",2004,5.7,35837.0
163,tt1431045,Deadpool,Deadpool,1,"Action, Adventure, Comedy, Sci-Fi",2016,8.0,874655.0
164,tt5463162,Deadpool 2,Deadpool,2,"Action, Adventure, Comedy, Sci-Fi",2018,7.7,453837.0
166,tt1323594,Despicable Me,Despicable Me,1,"Animation, Comedy, Family, Fantasy",2010,7.6,487822.0
167,tt1690953,Despicable Me 2,Despicable Me,2,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",2013,7.3,360869.0
168,tt3469046,Despicable Me 3,Despicable Me,3,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",2017,6.3,106910.0
169,tt0205000,Deuce Bigalow: Male Gigolo,Deuce Bigalow,1,"Comedy, Romance",1999,5.7,69183.0
170,tt0367652,Deuce Bigalow: European Gigolo,Deuce Bigalow,2,Comedy,2005,4.7,47603.0
171,tt0095016,Die Hard,Die Hard,1,"Action, Thriller",1988,8.2,761992.0
172,tt0099423,Die Hard 2,Die Hard,2,"Action, Thriller",1990,7.2,327518.0
173,tt0112864,Die Hard: With a Vengeance,Die Hard,3,"Action, Adventure, Thriller",1995,7.6,354942.0
174,tt0092890,Dirty Dancing,Dirty Dancing,1,"Drama, Music, Romance",1987,7.0,194026.0
175,tt0338096,Dirty Dancing: Havana Nights,Dirty Dancing,2,"Drama, Music, Romance",2004,6.0,26216.0
177,tt1840309,Divergent,Divergent,1,"Action, Adventure, Mystery, Sci-Fi",2014,6.7,415842.0
178,tt2908446,Insurgent,Divergent,2,"Action, Adventure, Sci-Fi, Thriller",2015,6.2,211153.0
179,tt3410834,Allegiant,Divergent,3,"Action, Adventure, Mystery, Sci-Fi, Thriller",2016,5.7,104224.0
180,tt0118998,Doctor Dolittle,Doctor Dolittle,1,"Comedy, Family, Fantasy",1998,5.4,89682.0
181,tt0240462,Dr. Dolittle 2,Doctor Dolittle,2,"Comedy, Family, Fantasy",2001,4.7,40966.0
182,tt1564349,Dolphin Tale,Dolphin Tale,1,"Drama, Family",2011,6.9,21850.0
183,tt2978462,Dolphin Tale 2,Dolphin Tale,2,"Drama, Family",2014,6.4,8079.0
185,tt0109686,Dumb and Dumber,Dumb and Dumber,1,Comedy,1994,7.3,344859.0
186,tt0329028,Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumber,2,Comedy,2003,3.4,36597.0
187,tt2096672,Dumb and Dumber To,Dumb and Dumber,3,Comedy,2014,5.6,125447.0
189,tt0127536,Elizabeth,Elizabeth,1,"Biography, Drama, History",1998,7.4,90473.0
190,tt0414055,Elizabeth: The Golden Age,Elizabeth,2,"Biography, Drama, History, War",2007,6.8,65365.0
192,tt0120667,Fantastic Four,Fantastic Four,1,"Action, Adventure, Family, Fantasy, Sci-Fi",2005,5.7,306261.0
193,tt0486576,Fantastic Four: Rise of the Silver Surfer,Fantastic Four,2,"Action, Adventure, Family, Fantasy, Sci-Fi",2007,5.6,246473.0
194,tt1905041,Furious 6,Fast & Furious,1,"Action, Adventure, Thriller",2013,7.1,360968.0
195,tt2820852,Fast & Furious 7,Fast & Furious,2,"Action, Adventure, Thriller",2015,7.1,351037.0
196,tt0101862,Father of the Bride,Father of the Bride,1,"Comedy, Family, Romance",1991,6.5,66485.0
197,tt0113041,Father of the Bride Part II,Father of the Bride,2,"Comedy, Family, Romance",1995,6.0,33238.0
198,tt0195714,Final Destination,Final Destination,1,"Horror, Thriller",2000,6.7,223054.0
199,tt0309593,Final Destination 2,Final Destination,2,"Horror, Thriller",2003,6.2,148189.0
200,tt0414982,Final Destination 3,Final Destination,3,"Fantasy, Horror, Thriller",2006,5.8,127306.0
201,tt1144884,The Final Destination,Final Destination,4,"Fantasy, Horror, Thriller",2009,5.2,94318.0
202,tt1622979,Final Destination 5,Final Destination,5,"Horror, Thriller",2011,5.8,103775.0
203,tt0266543,Finding Nemo,Finding Nemo,1,"Animation, Adventure, Comedy, Family",2003,8.1,920423.0
204,tt2277860,Finding Dory,Finding Nemo,2,"Animation, Adventure, Comedy, Family",2016,7.3,230918.0
206,tt0089155,Fletch,Fletch,1,"Comedy, Crime, Mystery",1985,6.9,46186.0
207,tt0097366,Fletch Lives,Fletch,2,"Comedy, Crime, Mystery",1989,6.1,19124.0
208,tt0106950,Fortress,Fortress,1,"Action, Crime, Sci-Fi, Thriller",1992,5.9,26902.0
209,tt0179183,Fortress 2,Fortress,2,"Action, Sci-Fi",2000,4.6,6356.0
212,tt0080761,Friday the 13th,Friday the 13th,1,"Horror, Mystery, Thriller",1980,6.5,114151.0
213,tt0082418,Friday the 13th Part 2,Friday the 13th,2,"Horror, Mystery, Thriller",1981,6.1,56320.0
214,tt0083972,Friday the 13th Part III,Friday the 13th,3,"Horror, Thriller",1982,5.7,45331.0
215,tt0087298,Friday the 13th: The Final Chapter,Friday the 13th,4,"Horror, Thriller",1984,6.0,42829.0
216,tt0089173,Friday the 13th: A New Beginning,Friday the 13th,5,"Horror, Mystery, Thriller",1985,4.8,32231.0
217,tt0091080,Friday the 13th Part VI: Jason Lives,Friday the 13th,6,"Horror, Thriller",1986,6.0,36688.0
218,tt0095179,Friday the 13th Part VII: The New Blood,Friday the 13th,7,"Horror, Thriller",1988,5.3,30981.0
219,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th,8,"Adventure, Horror, Thriller",1989,4.6,32111.0
220,tt0758746,Friday the 13th,Friday the 13th,9,"Horror, Mystery, Thriller",2009,5.5,94266.0
221,tt0089175,Fright Night,Fright Night,1,"Horror, Thriller",1985,7.1,57564.0
222,tt0097390,Fright Night Part 2,Fright Night,2,"Comedy, Horror, Thriller",1988,5.9,11073.0
223,tt1438176,Fright Night,Fright Night,3,"Comedy, Horror",2011,6.3,97557.0
225,tt1046173,G.I. Joe: The Rise of Cobra,G.I. Joe,1,"Action, Adventure, Sci-Fi, Thriller",2009,5.8,196128.0
226,tt1583421,G.I. Joe: Retaliation,G.I. Joe,2,"Action, Adventure, Sci-Fi, Thriller",2013,5.8,170466.0
227,tt0356634,Garfield,Garfield,1,"Animation, Comedy, Family, Fantasy",2004,5.0,76978.0
228,tt0455499,Garfield: A Tale of Two Kitties,Garfield,2,"Animation, Adventure, Comedy, Family",2006,5.0,37634.0
229,tt0259324,Ghost Rider,Ghost Rider,1,"Action, Fantasy, Thriller",2007,5.2,218580.0
230,tt1071875,Ghost Rider: Spirit of Vengeance,Ghost Rider,2,"Action, Fantasy, Thriller",2011,4.3,108395.0
231,tt0087332,Ghostbusters,Ghostbusters,1,"Action, Comedy, Fantasy",1984,7.8,343935.0
232,tt0097428,Ghostbusters II,Ghostbusters,2,"Action, Comedy, Fantasy, Sci-Fi",1989,6.6,177709.0
234,tt1456635,Goon,Goon,1,"Comedy, Drama, Sport",2011,6.8,82466.0
235,tt2417712,Goon: Last of the Enforcers,Goon,2,"Comedy, Sport",2017,5.8,11560.0
236,tt1703199,Grave Encounters,Grave Encounters,1,"Adventure, Fantasy, Horror, Mystery",2011,6.1,50876.0
237,tt2231554,Grave Encounters 2,Grave Encounters,2,"Action, Adventure, Fantasy, Horror, Sci-Fi",2012,5.1,22263.0
238,tt0087363,Gremlins,Gremlins,1,"Comedy, Fantasy, Horror",1984,7.3,190142.0
239,tt0099700,Gremlins 2: The New Batch,Gremlins,2,"Comedy, Fantasy, Horror",1990,6.4,89843.0
240,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,1,"Action, Adventure, Comedy, Sci-Fi",2014,8.0,1015774.0
241,tt3896198,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,2,"Action, Adventure, Comedy, Sci-Fi",2017,7.6,542701.0
242,tt0077651,Halloween,Halloween,1,"Horror, Thriller",1978,7.8,220286.0
243,tt0082495,Halloween II,Halloween,2,Horror,1981,6.5,71710.0
244,tt0085636,Halloween III: Season of the Witch,Halloween,3,"Horror, Mystery, Sci-Fi",1982,4.9,41473.0
245,tt0095271,Halloween 4: The Return of Michael Myers,Halloween,4,"Horror, Thriller",1988,5.9,41941.0
246,tt0097474,Halloween 5: The Revenge of Michael Myers,Halloween,5,"Horror, Thriller",1989,5.2,33232.0
247,tt0113253,Halloween: The Curse of Michael Myers,Halloween,6,"Horror, Thriller",1995,4.9,29916.0
248,tt0120694,Halloween H20: 20 Years Later,Halloween,7,"Horror, Thriller",1998,5.8,64251.0
249,tt0220506,Halloween: Resurrection,Halloween,8,"Horror, Thriller",2002,4.0,36221.0
250,tt0373883,Halloween,Halloween,9,Horror,2007,6.1,106486.0
251,tt1311067,Halloween II,Halloween,10,Horror,2009,4.9,47066.0
252,tt1502407,Halloween,Halloween,11,"Horror, Thriller",2018,6.6,109901.0
253,tt0212985,Hannibal,Hannibal,1,"Crime, Drama, Thriller",2001,6.8,247854.0
254,tt0367959,Hannibal Rising,Hannibal,2,"Adventure, Crime, Drama, Thriller, War",2007,6.2,101488.0
255,tt5308322,Happy Death Day,Happy Death Day,1,"Horror, Mystery, Thriller",2017,6.5,108354.0
256,tt8155288,Happy Death Day 2U,Happy Death Day,2,"Comedy, Horror, Mystery, Sci-Fi, Thriller",2019,6.2,50611.0
257,tt0366548,Happy Feet,Happy Feet,1,"Animation, Adventure, Comedy, Family, Music, Musical, Romance",2006,6.4,165591.0
258,tt1402488,Happy Feet Two,Happy Feet,2,"Animation, Adventure, Comedy, Family, Musical",2011,5.9,40599.0
259,tt0366551,Harold & Kumar Go to White Castle,Harold & Kumar,1,"Adventure, Comedy",2004,7.1,178460.0
260,tt0481536,Harold & Kumar Escape from Guantanamo Bay,Harold & Kumar,2,"Adventure, Comedy",2008,6.6,128663.0
261,tt1268799,A Very Harold & Kumar 3D Christmas,Harold & Kumar,3,"Adventure, Comedy",2011,6.3,64273.0
262,tt0241527,Harry Potter and the Sorcerer's Stone,Harry Potter,1,"Adventure, Family, Fantasy",2001,7.6,617029.0
263,tt0295297,Harry Potter and the Chamber of Secrets,Harry Potter,2,"Adventure, Family, Fantasy, Mystery",2002,7.4,529927.0
264,tt0304141,Harry Potter and the Prisoner of Azkaban,Harry Potter,3,"Adventure, Family, Fantasy, Mystery",2004,7.9,527151.0
265,tt0330373,Harry Potter and the Goblet of Fire,Harry Potter,4,"Adventure, Family, Fantasy, Mystery",2005,7.7,524796.0
266,tt0373889,Harry Potter and the Order of the Phoenix,Harry Potter,5,"Action, Adventure, Family, Fantasy, Mystery",2007,7.5,488506.0
267,tt0417741,Harry Potter and the Half-Blood Prince,Harry Potter,6,"Action, Adventure, Family, Fantasy, Mystery",2009,7.6,452646.0
268,tt0926084,Harry Potter and the Deathly Hallows: Part 1,Harry Potter,7,"Adventure, Family, Fantasy, Mystery",2010,7.7,457952.0
269,tt1201607,Harry Potter and the Deathly Hallows: Part 2,Harry Potter,8,"Adventure, Drama, Fantasy, Mystery",2011,8.1,736025.0
271,tt0167190,Hellboy,Hellboy,1,"Action, Fantasy, Horror",2004,6.8,301159.0
272,tt0411477,Hellboy II: The Golden Army,Hellboy,2,"Action, Adventure, Fantasy, Horror, Sci-Fi",2008,7.0,251211.0
273,tt0093177,Hellraiser,Hellraiser,1,"Horror, Thriller",1987,7.0,99267.0
274,tt0104409,Hellraiser III: Hell on Earth,Hellraiser,2,Horror,1992,5.5,26484.0
275,tt0116514,Hellraiser: Bloodline,Hellraiser,3,"Horror, Sci-Fi",1996,5.2,18630.0
276,tt1716747,Hellraiser: Revelations,Hellraiser,4,Horror,2011,2.7,6760.0
278,tt0099785,Home Alone,Home Alone,1,"Comedy, Family",1990,7.6,448017.0
279,tt0104431,Home Alone 2: Lost in New York,Home Alone,2,"Adventure, Comedy, Crime, Family",1992,6.8,288823.0
280,tt0119303,Home Alone 3,Home Alone,3,"Comedy, Crime, Family",1997,4.5,101693.0
281,tt0322589,Honey,Honey,1,"Drama, Music, Romance",2003,5.4,42620.0
282,tt1657283,Honey 2,Honey,2,"Comedy, Drama, Music",2011,5.3,6760.0
283,tt0097523,"Honey, I Shrunk the Kids","Honey,  Shrunk the Kids",1,"Adventure, Comedy, Family, Sci-Fi",1989,6.3,138376.0
284,tt0104437,"Honey, I Blew Up the Kid","Honey,  Shrunk the Kids",2,"Adventure, Comedy, Family, Romance, Sci-Fi",1992,4.8,40073.0
285,tt1499658,Horrible Bosses,Horrible Bosses,1,"Comedy, Crime",2011,6.9,413344.0
286,tt2170439,Horrible Bosses 2,Horrible Bosses,2,"Comedy, Crime",2014,6.3,153584.0
287,tt0450278,Hostel,Hostel,1,Horror,2005,5.9,165629.0
